Iteration #,Residual (2-norm),Residual (A-norm)
60600,0.00261895,0.00403499
60800,0.0011872,0.00398772
61000,0.000865263,0.00396947
61200,0.002247,0.00392646
61400,0.000530131,0.0038812
61600,0.000538138,0.00387156
61800,0.000839363,0.00386573
62000,0.00120898,0.00384599
62200,0.00274602,0.00376909
62400,0.00455399,0.00369611
62600,0.000793538,0.00364825
62800,0.000590174,0.00363804
63000,0.000240194,0.00363427
63200,0.000770017,0.00362551
63400,0.000783129,0.00360784
63600,0.000900352,0.00358613
63800,0.000796393,0.00353875
64000,0.00117623,0.00348352
64200,0.000382404,0.00347287
64400,0.000436857,0.00346992
64600,0.0011529,0.00346409
64800,0.000890049,0.00344105
65000,0.000774557,0.00341758
65200,0.00124531,0.00339057
65400,0.000758884,0.00333074
65600,0.000547206,0.00331863
65800,0.000465953,0.0033151
66000,0.000649417,0.00331276
66200,0.00153799,0.00329992
66400,0.000941159,0.00321699
66600,0.000601941,0.00319963
66800,0.000693423,0.00319432
67000,0.000504305,0.00319003
67200,0.000739694,0.00318671
67400,0.000954493,0.00317353
67600,0.00240036,0.00310821
67800,0.000888134,0.00307476
68000,0.000268687,0.00306358
68200,0.000321215,0.00306172
68400,0.00163849,0.00305691
68600,0.00284721,0.00302622
68800,0.00222264,0.00299368
69000,0.000416406,0.00296791
69200,0.000392389,0.00296551
69400,0.000642523,0.00296304
69600,0.00208663,0.00293536
69800,0.0007004,0.0028987
70000,0.000962332,0.00287561
70200,0.00024066,0.00287153
70400,0.000341336,0.00286882
70600,0.000636987,0.00286194
70800,0.000543387,0.00284992
71000,0.00140234,0.00279021
71200,0.000263611,0.0027709
71400,0.000803947,0.00276819
71600,0.000497618,0.00276374
71800,0.000727766,0.00275131
72000,0.00105081,0.00271216
72200,0.00075334,0.0027021
72400,0.00227306,0.00265204
72600,0.00153754,0.00259918
72800,0.00029738,0.00259258
73000,0.000437232,0.00258867
73200,0.00069754,0.00258217
73400,0.00214563,0.00251635
73600,0.00139138,0.00242461
73800,0.000193624,0.00241845
74000,0.00108978,0.0024079
74200,0.00102699,0.00236284
74400,0.00199706,0.00227488
74600,0.000511733,0.00224038
74800,0.000287543,0.00223576
75000,0.000800942,0.00222859
75200,0.0024417,0.00219753
75400,0.000893143,0.00211215
75600,0.00112059,0.00206904
75800,0.000604564,0.00204297
76000,0.000338083,0.00203442
76200,0.000201974,0.00202527
76400,0.00115556,0.00201524
76600,0.0024751,0.00193503
76800,0.0015389,0.00184398
77000,0.00104166,0.00180826
77200,0.00093406,0.00179689
77400,0.000920157,0.00177803
77600,0.000400373,0.00175144
77800,0.000864985,0.00173977
78000,0.000755128,0.00171251
78200,0.000467503,0.00168866
78400,0.000331153,0.00167647
78600,0.00120014,0.00161724
78800,0.00190902,0.00150345
79000,0.00114245,0.00145453
79200,0.000451454,0.00143817
79400,0.000397624,0.00142968
79600,0.000786838,0.00141833
79800,0.00169888,0.00137523
80000,0.00293959,0.00127247
80200,0.000481107,0.00120589
80400,0.000223111,0.00119456
80600,0.000522109,0.00119005
80800,0.000446522,0.00117779
81000,0.000853117,0.00112294
81200,0.00102242,0.00105934
81400,0.000452627,0.0010151
81600,0.0003217,0.000991221
81800,0.000428398,0.000983932
82000,0.000327999,0.000979862
82200,0.00125334,0.000962251
82400,0.00285187,0.000849015
82600,0.000289327,0.000823944
82800,0.00011348,0.00081883
