Iteration #,Relative Residual
626,0.0190852
627,0.0190197
628,0.0189536
629,0.0188325
630,0.0187058
631,0.0186861
632,0.0186427
633,0.0186367
634,0.0186355
635,0.0186354
636,0.0186339
637,0.0186312
638,0.0186048
639,0.0185691
640,0.0184949
641,0.018362
642,0.0182942
643,0.0182309
644,0.0181171
645,0.0180413
646,0.0179897
647,0.0179517
648,0.0179067
649,0.0177669
650,0.0177266
651,0.0176903
652,0.0176892
653,0.0176872
654,0.0176854
655,0.0176755
656,0.0175874
657,0.0175089
658,0.0174715
659,0.0174409
660,0.0173929
661,0.0173833
662,0.0173758
663,0.0173758
664,0.0173758
665,0.0173758
666,0.0173758
667,0.017374
668,0.0173502
669,0.0173262
670,0.0172779
671,0.0172451
672,0.0172134
673,0.0171793
674,0.0171505
675,0.0171085
676,0.017068
677,0.0170184
678,0.0169324
679,0.0168596
680,0.0168251
681,0.0167868
682,0.0167569
683,0.0166741
684,0.0165524
685,0.0164494
686,0.0164145
687,0.0163343
688,0.0162786
689,0.0161615
690,0.0160414
691,0.0160124
692,0.0159693
693,0.015966
694,0.0159652
695,0.0159652
696,0.0159642
697,0.015961
698,0.0159427
699,0.0159156
700,0.015839
701,0.0157417
702,0.0156589
703,0.0155686
704,0.0154601
705,0.0154176
706,0.0153858
707,0.015362
708,0.0153181
709,0.0152035
710,0.0151691
711,0.0151599
712,0.0151565
713,0.0151555
714,0.0151493
715,0.0151239
716,0.0150818
717,0.0150256
718,0.0149658
719,0.0149513
720,0.0148842
721,0.0148636
722,0.0148602
723,0.0148583
724,0.0148579
725,0.0148575
726,0.0148493
727,0.0148483
728,0.0148456
729,0.0148431
730,0.0148374
731,0.0148163
732,0.014787
733,0.0147516
734,0.0147134
735,0.0146652
736,0.0146129
737,0.0145489
738,0.0145217
739,0.0144256
740,0.0143726
741,0.0143078
742,0.0142748
743,0.0142095
744,0.0141489
745,0.0140731
746,0.0139955
747,0.0139272
748,0.0138902
749,0.0138509
750,0.0137676
751,0.0137508
752,0.013729
753,0.0137252
754,0.0137251
755,0.013725
756,0.013725
757,0.013725
758,0.0137086
759,0.0136751
760,0.0136073
761,0.0135209
762,0.0134017
763,0.013275
764,0.0132
765,0.0131638
766,0.0131469
767,0.0131325
768,0.0131058
769,0.0129975
770,0.0129449
771,0.0129369
772,0.0129342
773,0.0129342
774,0.0129337
775,0.0129269
776,0.0128995
777,0.0128558
778,0.01281
779,0.0127808
780,0.0127547
781,0.0127468
782,0.0127432
783,0.012743
784,0.012743
785,0.0127422
786,0.0127338
787,0.0127322
788,0.0127275
789,0.0127179
790,0.0127007
791,0.012673
792,0.0126447
793,0.0126247
794,0.0125981
795,0.012581
796,0.0125634
797,0.0125246
798,0.0124934
799,0.0124169
800,0.0123893
801,0.0123384
802,0.0122945
803,0.0122334
804,0.0121491
805,0.0119984
806,0.0119135
807,0.0118481
808,0.0118194
809,0.0117864
810,0.0117596
811,0.0117528
812,0.0117424
813,0.0117422
814,0.0117419
815,0.0117415
816,0.0117389
817,0.0117326
818,0.0117128
819,0.0116875
820,0.0116303
821,0.0115159
822,0.0113872
823,0.0113172
824,0.011238
825,0.0111907
826,0.0111719
827,0.0111547
828,0.0111357
829,0.0110573
830,0.0110083
831,0.0110057
832,0.0110044
833,0.0110044
834,0.0110043
835,0.0110042
836,0.0109817
837,0.0109262
838,0.0108726
839,0.0108134
840,0.0107568
841,0.0107349
842,0.010726
843,0.0107249
844,0.0107228
845,0.010721
846,0.0107191
847,0.0107163
848,0.0106688
849,0.0106499
850,0.0106143
851,0.0105881
852,0.0105615
853,0.0105455
854,0.0105249
855,0.0105149
856,0.010503
857,0.0104709
858,0.0104366
859,0.0103957
860,0.0103762
861,0.0103502
862,0.010319
863,0.010231
864,0.0101073
865,0.00998395
866,0.0099341
867,0.0098787
868,0.00984512
869,0.00981562
870,0.00978024
871,0.00977416
872,0.00976313
873,0.00976249
874,0.00976241
875,0.00976228
876,0.00975932
877,0.00975483
878,0.00972891
879,0.00970192
880,0.00964379
881,0.00945007
882,0.00939317
883,0.00935992
884,0.0093201
885,0.00927802
886,0.00925247
887,0.00923021
888,0.00918434
889,0.00912131
890,0.00910694
891,0.00910482
892,0.00910482
893,0.00910482
894,0.00910426
895,0.0091027
896,0.00909495
897,0.00903074
898,0.00885551
899,0.0085857
900,0.00846499
901,0.00843552
902,0.00838643
903,0.00837786
904,0.00837516
905,0.00836652
906,0.00835141
907,0.00833771
908,0.00829813
909,0.00822098
910,0.00816173
911,0.00805256
912,0.008016
913,0.00795848
914,0.00793337
915,0.00792534
916,0.00791308
917,0.00790455
918,0.00789938
919,0.00789069
920,0.0078881
921,0.00788527
922,0.00788104
923,0.00786835
924,0.0078156
925,0.00778791
926,0.00777325
927,0.00773085
928,0.00767963
929,0.00759642
930,0.00751801
931,0.00750156
932,0.00747171
933,0.00747033
934,0.00746997
935,0.00746997
936,0.00746692
937,0.00745905
938,0.00744405
939,0.00743559
940,0.00742999
941,0.00742483
942,0.00741826
943,0.00740244
944,0.00736919
945,0.00732121
946,0.00728809
947,0.00725446
948,0.00722768
949,0.00718531
950,0.00714457
951,0.00712183
952,0.00711316
953,0.00711267
954,0.00711267
955,0.00711186
956,0.00710416
957,0.00703648
958,0.00699221
959,0.00683734
960,0.0067859
961,0.00677633
962,0.00674619
963,0.00673842
964,0.00673223
965,0.00671906
966,0.00670355
967,0.00669614
968,0.00666227
969,0.00658897
970,0.00655768
971,0.0065342
972,0.0065087
973,0.00648631
974,0.00647123
975,0.00645419
976,0.00643865
977,0.00642398
978,0.00639869
979,0.00638493
980,0.00638353
981,0.00638207
982,0.00637921
983,0.00637283
984,0.00635364
985,0.00632655
986,0.00630884
987,0.00627604
988,0.00624192
989,0.00621754
990,0.00618665
991,0.0061821
992,0.00617485
993,0.00617484
994,0.00617483
995,0.00617483
996,0.00617425
997,0.00616995
998,0.00615548
999,0.00614543
1000,0.00613787
1001,0.00611744
1002,0.00610894
1003,0.00609866
1004,0.00608296
1005,0.00606639
1006,0.00605639
1007,0.00604372
1008,0.00601729
1009,0.00596829
1010,0.00594754
1011,0.00592807
1012,0.00592234
1013,0.00592217
1014,0.00592211
1015,0.00592136
1016,0.00590609
1017,0.00585703
1018,0.00579975
1019,0.00566457
1020,0.00561572
1021,0.00561073
1022,0.00559028
1023,0.00558298
1024,0.0055813
1025,0.00557773
1026,0.00556764
1027,0.00556612
1028,0.00555321
1029,0.0055114
1030,0.00547165
1031,0.00545357
1032,0.00542871
1033,0.00539713
1034,0.00537029
1035,0.00533975
1036,0.00532405
1037,0.0053128
1038,0.00529512
1039,0.00529188
1040,0.00529175
1041,0.00529105
1042,0.00529028
1043,0.00528974
1044,0.0052731
1045,0.0052401
1046,0.00521746
1047,0.0051857
1048,0.00517695
1049,0.00516521
1050,0.00512366
1051,0.00511602
1052,0.00510688
1053,0.00510688
1054,0.0051067
1055,0.00510526
1056,0.00510476
1057,0.00510473
1058,0.00510227
1059,0.00509733
1060,0.00508925
1061,0.0050821
1062,0.00506272
1063,0.00505195
1064,0.00504069
1065,0.00502929
1066,0.00502317
1067,0.00501847
1068,0.00501308
1069,0.00495711
1070,0.00493421
1071,0.00491255
1072,0.00490335
1073,0.00489809
1074,0.00489475
1075,0.0048933
1076,0.00488495
1077,0.00482002
1078,0.00477794
1079,0.00467491
1080,0.00457431
1081,0.00456046
1082,0.00451461
1083,0.00449525
1084,0.00448365
1085,0.00447031
1086,0.00445399
1087,0.00444767
1088,0.00439337
1089,0.00435923
1090,0.00432331
1091,0.00431206
1092,0.00430374
1093,0.00429569
1094,0.00427102
1095,0.00424634
1096,0.00423086
1097,0.00421188
1098,0.00419942
1099,0.00419856
1100,0.0041985
1101,0.00419773
1102,0.00419382
1103,0.00418685
1104,0.00416198
1105,0.00413584
1106,0.00412728
1107,0.0041151
1108,0.00410072
1109,0.00409207
1110,0.00406741
1111,0.00405812
1112,0.00405504
1113,0.00405497
1114,0.00405463
1115,0.00405452
1116,0.00405445
1117,0.00405401
1118,0.00405395
1119,0.00405247
1120,0.00404835
1121,0.00404465
1122,0.00404007
1123,0.00402215
1124,0.00399548
1125,0.00398434
1126,0.00397984
1127,0.00397765
1128,0.00397607
1129,0.00394207
1130,0.00391605
1131,0.00390517
1132,0.00390277
1133,0.00390046
1134,0.00389777
1135,0.00389397
1136,0.00388949
1137,0.00384252
1138,0.00378746
